date,rtgs_vol,rtgs_val,neft_vol,neft_val,aeps_vol,aeps_val,upi_vol,upi_val,imps_vol,imps_val,nach_credit_vol,nach_credit_val,nach_debit_vol,nach_debit_val,netc_vol,netc_val,bbps_vol,bbps_val,cts_vol,cts_val,credit_pos_vol,credit_pos_val,credit_ecom_vol,credit_ecom_val,debit_pos_vol,debit_pos_val,debit_ecom_vol,debit_ecom_val,ppi_pos_vol,ppi_pos_val,ppi_ecom_vol,ppi_ecom_val,credit_combined_vol,credit_combined_val,debit_combined_vol,debit_combined_val,ppi_combined_vol,ppi_combined_val,nfs_vol,nfs_val,aeps_bc_vol,aeps_bc_val,gov_sec_vol,gov_sec_val,forex_vol,forex_val,rupee_der_vol,rupee_der_val
2020-08-13,5.5496,308727.691237727,98.58893,83811.40572186801,0.79,11.719999999999999,539.19,10585.91,81.31,8194.45,91.88,2020.5,17.74,1514.35,31.19,55.02,8.69,150.84,25.22,20332.5,,,,,,,,,,,,,,,,,,,98.22,4138.43,33.68,830.73,,,,,,
2020-08-14,5.72194,365422.75283501,92.06704,83445.976901714,0.9,12.64,539.34,10316.23,82.18,8104.78,107.02,3245.09,21.08,1780.12,32.54,56.05,8.17,145.0,23.34,18931.77,,,,,,,,,,,,,,,,,,,105.88,4374.93,34.84,862.35,,,,,,
2020-08-15,H,H,8.89115,3931.868393782,0.5800000000000001,8.719999999999999,489.26,7615.92,66.09,5083.94,H,H,H,H,29.85,54.61,6.25,92.16,H,H,,,,,,,,,,,,,,,,,,,87.23,3402.55,22.73,550.25,,,,,,
2020-08-16,H,H,6.59305,2450.0453420259996,0.48000000000000004,6.62,460.73,6513.29,55.73,3890.45,H,H,H,H,26.69,49.75,6.41,90.41,H,H,,,,,,,,,,,,,,,,,,,67.45,2474.02,17.76,410.2,,,,,,
2020-08-17,6.19951,362002.329214885,114.84872,93308.37324266501,0.7100000000000001,10.65,491.93,9319.65,85.45,8575.21,114.91999999999999,3961.32,62.68,5328.62,30.34,49.83,8.78,163.3,29.61,22430.58,,,,,,,,,,,,,,,,,,,103.76,4248.95,31.32,786.12,,,,,,
2020-08-18,5.57872,311514.38975302,93.21219,73257.318478623,0.87,12.760000000000002,492.12,8825.77,86.31,8419.76,106.02,2568.16,17.81,1762.01,30.91,53.76,8.05,144.69,27.18,21194.39,,,,,,,,,,,,,,,,,,,101.56,4151.92,31.11,792.91,,,,,,
2020-08-19,5.218,348698.28621612804,91.3431,74304.66316348,0.89,12.55,543.21,10080.86,84.6,8149.36,78.56,2873.6,8,1219.52,32.41,57.35,8.62,162.01,23.37,19325.91,,,,,,,,,,,,,,,,,,,98.57,3950.67,31.57,779.51,,,,,,
2020-08-20,4.83779,343745.030041606,94.85343,129691.786377925,0.85,12.2,556.27,10676.16,83.15,7885.48,73.47,1656.16,23.33,2498.88,33.31,58.98,8.26,161.74,22.03,17752.12,,,,,,,,,,,,,,,,,,,96.36,3847.42,29.12,702.12,,,,,,
2020-08-21,5.24317,311733.316996568,82.38489,73075.5,0.79,11.44,548.43,9893.06,82.84,7745.89,75.33,2577.48,47.87,1870.01,34.44,60.08,7.37,138.84,21.17,19706.52,,,,,,,,,,,,,,,,,,,99.98,3862.16,27.94,658.82,,,,,,
2020-08-22,H,H,10.21699,5101.5537123,0.5700000000000001,8.52,498.88,7381.02,67.47,5378.04,H,H,H,H,31.01,57.9,5.92,100.95,H,H,,,,,,,,,,,,,,,,,,,87.03,3192.95,21.38,502.0,,,,,,
2020-08-23,H,H,6.25805,2309.2606186599996,0.4,5.74,468.13,6217.56,55.33,3644.85,H,H,H,H,28.52,54.61,5.18,73.66,H,H,,,,,,,,,,,,,,,,,,,65.25,2260.14,14.87,334.13,,,,,,
2020-08-24,6.58593,333928.27282126603,98.74547,83752.095239975,0.74,10.92,551.02,10572.5,85.94,8463.53,133.17,5014.34,22.95,1804.59,32.16,53.43,8.23,169.5,29.89,23171.94,,,,,,,,,,,,,,,,,,,101.39,3984.09,28.8,686.18,,,,,,
2020-08-25,5.64791,298166.458383354,84.34695,84795.3,0.6900000000000001,10.719999999999999,561.84,10383.43,84.25,8235.26,51.54,6865.6,21.88,2325.35,32.84,57.39,7.68,152.97,26.98,22412.89,,,,,,,,,,,,,,,,,,,95.73,3779.8,26.57,636.11,,,,,,
